,Predicted output,Actual output
158,0.015464455,0.011772939
159,0.008814782,0.00726624
160,0.06883612,0.056912196
161,0.014154673,0.012700628
162,0.027634054,0.0261878
163,0.10186717,0.098286413
164,0.15416336,0.167297084
165,0.18821329,0.16604922
166,0.0140200555,0.012887905
167,0.29366884,0.27704779
168,0.020080984,0.015383821
169,0.028858155,0.039061634
170,0.116778195,0.106094414
171,0.0133782625,0.013189062
172,0.15159655,0.141273314
173,0.013670057,0.017183321
174,0.033098847,0.02064552
175,0.012298882,0.014903845
176,0.091350645,0.095552808
177,0.019007355,0.023112576
178,0.10798043,0.113926852
179,0.08694169,0.083898499
180,0.01876226,0.020402853
181,0.09161493,0.084241148
182,0.009859711,0.01104384
183,0.008888096,0.008823422
184,0.04106301,0.035008654
185,0.031153142,0.025659755
186,0.008814782,0.00587785
187,0.012902081,0.008744935
188,0.058184564,0.044682056
189,0.13745826,0.147098032
190,0.023312837,0.018402227
191,0.0068889856,0.007237769
192,0.004655808,0.006439052
193,0.1366337,0.141860155
194,0.02346021,0.025928138
195,0.02112922,0.020780612
196,0.009859711,0.008985847
197,0.02915147,0.026287704
198,0.06611884,0.052617041
199,0.008814782,0.005507749
200,0.0069187284,0.011328105
201,0.0079776645,0.007676137
202,0.019704461,0.017612123
203,0.08321339,0.08105519
204,0.13725793,0.125078686
205,0.08870903,0.085950734
206,0.011219591,0.009970872
207,0.59732306,0.57385513
208,0.5936384,0.573433333
209,0.026763111,0.021652393
210,0.013290703,0.024086476
211,0.005462438,0.005124594
212,0.0132955015,0.012799486
213,0.004595548,0.00814373
214,0.12652597,0.090118063
215,0.042085916,0.038970138
216,0.088330954,0.093844918
217,0.0047424734,0.011348491
218,0.04032415,0.04460303
219,0.0074732006,0.006927922
220,0.0074732006,0.007527451
221,0.023267657,0.026222161
222,0.047168523,0.032366281
223,0.103283435,0.091996628
224,0.07209578,0.088503144
225,0.12424156,0.086690096
226,0.0068889856,0.013923059
227,0.13815916,0.14105766
228,0.05507487,0.0371999
229,0.03974393,0.034105677
230,0.004349053,0.01082948
231,0.013245344,0.010997832
232,0.28213254,0.26683307
233,0.004349053,0.004539658
234,0.031632483,0.032603249
235,0.14305994,0.148910683
236,0.04881534,0.037295971
237,0.04964319,0.048454223
238,0.029466748,0.018405259
239,0.010973573,0.029084966
240,0.019163579,0.017158938
241,0.022038609,0.019424923
242,0.14718047,0.150944893
243,0.0112944245,0.012236332
244,0.007932842,0.018980825
245,0.06387952,0.041392214
246,0.07488051,0.06546141
247,0.012344182,0.013134243
248,0.036197096,0.037178273
249,0.0060360134,0.006384259
250,0.03377357,0.035751068
251,0.17967725,0.165150743
252,0.58662486,0.573831818
253,0.012571067,0.010432571
254,0.018175513,0.017546917
255,0.019579113,0.034214247
256,0.027697384,0.026979825
257,0.0074732006,0.004831185
258,0.007195741,0.006204235
259,0.13070986,0.10914411
260,0.009859711,0.012614582
261,0.10245085,0.130616942
262,0.0043962,0.00781286
